instancia.15N.4B.6P.100D, 4800.84 secs, FO value: 1017000.00, gap: 2.261554
instancia.15N.5B.5P.100D, 4800.57 secs, FO value: 1271000.00, gap: 15.971676
instancia.15N.4B.5P.100D, 4800.62 secs, FO value: 1029000.00, gap: 19.727891
instancia.20N.4B.5P.100D, 4803.08 secs, FO value: 1187000.00, gap: 21.229992
instancia.15N.6B.5P.100D, 4800.19 secs, FO value: 845000.00, gap: 22.603550
instancia.15N.6B.6P.100D, 4800.44 secs, FO value: 1035000.00, gap: 22.995169
instancia.15N.5B.6P.100D, 4800.70 secs, FO value: 1391000.00, gap: 27.821711
instancia.20N.5B.5P.100D, 4800.75 secs, FO value: 1377000.00, gap: 28.540305
instancia.25N.4B.5P.100D, 4800.20 secs, FO value: 1632000.00, gap: 33.088235
instancia.30N.4B.5P.100D, 4801.23 secs, FO value: 3066587.00, gap: 45.508019
instancia.40N.4B.4P.100D, 4807.15 secs, FO value: 5002977.00, gap: 57.074736
instancia.30N.4B.6P.100D, 4800.81 secs, FO value: 6521861.00, gap: 70.676683
