instancia.15N.5B.4P.100D, 35.54 secs, FO value: 941000.00
instancia.15N.4B.4P.100D, 27.40 secs, FO value: 797840.00
instancia.15N.6B.4P.100D, 16.52 secs, FO value: 698000.00
instancia.10N.4B.6P.100D, 4.99 secs, FO value: 593568.00
instancia.10N.5B.6P.100D, 3.71 secs, FO value: 572156.00
instancia.10N.4B.5P.100D, 3.32 secs, FO value: 480372.00
instancia.10N.5B.5P.100D, 2.65 secs, FO value: 520470.00
instancia.10N.4B.4P.100D, 2.55 secs, FO value: 429225.00
instancia.10N.6B.5P.100D, 2.32 secs, FO value: 465666.00
instancia.10N.5B.4P.100D, 2.29 secs, FO value: 420372.00
instancia.10N.6B.6P.100D, 2.23 secs, FO value: 548568.00
instancia.10N.6B.4P.100D, 1.77 secs, FO value: 374127.00
