instance_id,configuration,total_runtime,model_build,aggregate_build,valid_inequality_build,callback,sp_total,nodes,cuts,aggregate_variable_count,aggregate_constraint_count
S01,algorithm-candidate-v1,30.19718819996342,0.07914389995858073,0.013194199884310365,7.997732609510422e-07,6.754781511146575,0.6386215987149626,609.0,92,228,529
S01,V2A_valid,30.20587999979034,0.2602599000092596,0.0395306998398155,0.008404399966821074,14.3757496944163,1.0318216001614928,543.0,78,228,529
S01,V2B_pod_size_aggregate,30.244940100004897,0.25911390013061464,0.06694609997794032,3.200024366378784e-06,8.865579103585333,0.667276399442926,250.0,44,480,865
S01,V2C_pod_size_aggregate_valid,30.08554990007542,0.0756332001183182,0.016630199970677495,0.0023605998139828444,6.520373216597363,0.48152110166847706,2278.0,119,480,865
M01,algorithm-candidate-v1,90.47809039987624,0.4237941999454051,0.0346522000618279,7.00121745467186e-07,12.632853392511606,2.087858300190419,1.0,24,588,1381
M01,V2A_valid,90.94568570004776,0.5016746001783758,0.03816109988838434,0.019034700002521276,15.738039498683065,2.741524900775403,1.0,29,588,1381
M01,V2B_pod_size_aggregate,90.58079080004245,0.48263139999471605,0.06672500004060566,8.00006091594696e-07,10.130366682307795,1.8460195001680404,1.0,18,1956,2977
M01,V2C_pod_size_aggregate_valid,94.5667005002033,0.5093630999326706,0.0675329000223428,0.011326399864628911,11.685505096334964,1.9357707002200186,1.0,21,1956,2977
L01,algorithm-candidate-v1,243.20637229993008,3.489896399900317,0.1293007000349462,8.998904377222061e-07,66.87757839006372,9.79378960095346,1.0,20,1452,3493
L01,V2A_valid,242.98838569992222,3.03503239993006,0.1302680999506265,0.04538629995658994,54.39056900772266,5.102258300408721,1.0,19,1452,3493
L01,V2B_pod_size_aggregate,240.41990580013953,3.2944439998827875,0.28378110006451607,8.00006091594696e-07,0.007297202944755554,0,1.0,0,8052,10753
L01,V2C_pod_size_aggregate_valid,240.3468692000024,3.863579099997878,0.3456609998829663,0.09277089987881482,0.009698697831481695,0,1.0,0,8052,10753
