component,instance_id,candidate,baseline,candidate_feasible,baseline_feasible,delta_lb,delta_time_to_first_feasible,delta_primal_integral,delta_gap_integral,delta_gap,delta_ub,improves_feasible,improves_lb,improves_time_to_first_feasible,improves_primal_integral,improves_gap_integral,improves_gap,improves_ub
aggregate_lb,S01,C2_core_aggregate,C0_bbc_core,True,True,15535.367397135822,0.030670200008898973,-1.8660924878158092,-14.740377098239673,-0.7759687633143477,-2373.785064931708,False,True,False,True,True,True,True
aggregate_lb,M01,C2_core_aggregate,C0_bbc_core,True,True,12368.52985576269,0.056925700046122074,-21.381841346801572,-46.08020130775277,-0.8278687195556282,-5791.929327318976,False,True,False,True,True,True,True
aggregate_lb,L01,C2_core_aggregate,C0_bbc_core,True,True,13076.35793230762,6.6819370000157505,-76.5879753285153,-101.17545661772711,-0.8139245880519856,-10004.4934403189,False,True,False,True,True,True,True
analytic_lb_alone,S01,C1_core_analytic,C0_bbc_core,True,True,6611.686042107387,-0.003984100068919361,0.0902196302198992,-5.674276854363683,-0.2890892998158001,40.31140740421324,False,True,False,False,True,True,False
analytic_lb_alone,M01,C1_core_analytic,C0_bbc_core,True,True,3607.5843730779006,-0.03903889993671328,0.1471644766857807,-9.719451805519213,-0.16788224585630818,253.80640119494637,False,True,False,False,True,True,False
analytic_lb_alone,L01,C1_core_analytic,C0_bbc_core,True,True,2351.93239204368,2.0549010999966413,0.23748583825670266,-12.586638326416974,-0.08757517137288151,270.42107952688093,False,True,False,False,True,True,False
analytic_lb_increment,S01,C3_core_both_lb,C2_core_aggregate,True,True,5.5538438848125224,0.0017043000552803278,-0.01492465501421103,-0.013873910068150863,-0.00027174593285109183,0.0,False,False,False,False,False,False,False
analytic_lb_increment,M01,C3_core_both_lb,C2_core_aggregate,True,True,0.0,0.00483600003644824,0.009702238152833331,0.0082070774882812,0.0,0.0,False,False,False,False,False,False,False
analytic_lb_increment,L01,C3_core_both_lb,C2_core_aggregate,True,True,0.0,0.9535900999326259,-0.016571036843330278,-0.14853059404076774,0.0,0.0,False,False,False,False,False,False,False
root_without_primal,S01,C4_both_lb_root,C3_core_both_lb,True,True,11.98996337124845,0.4162973999045789,-0.03274354086777409,-0.08494454849977107,0.004793538546672693,121.13060214656434,False,False,False,False,False,False,False
root_without_primal,M01,C4_both_lb_root,C3_core_both_lb,True,True,-14.760967114974846,3.143953599850647,-0.5699349040321695,-1.3451488795075957,-0.0017429786111230888,-46.721624521753256,False,False,False,True,True,True,False
root_without_primal,L01,C4_both_lb_root,C3_core_both_lb,True,True,0.0,9.050327100092545,-0.12329263730969231,-1.3813205691214172,0.0,0.0,False,False,False,True,True,False,False
warm,S01,C5_both_lb_warm,C3_core_both_lb,True,True,-72.45687056623501,2.849043699912727,-0.7055531951365175,-0.7561109581390268,-0.007168846793898065,-238.08173888954116,False,False,False,True,True,True,True
warm,M01,C5_both_lb_warm,C3_core_both_lb,True,True,-4.773742776425934,7.850747700082138,4.547074337166601,2.0457635140652712,0.06926026684363223,1294.6241852786952,False,False,False,False,False,False,False
warm,L01,C5_both_lb_warm,C3_core_both_lb,True,True,0.0,27.68359140015673,-0.3769353024273503,-4.225085990912234,0.0,0.0,False,False,False,True,True,False,False
alns,S01,C6_both_lb_warm_alns,C5_both_lb_warm,True,True,-9.320507238408027,0.002473199972882867,-0.4636552892170885,-0.7800927714137171,-0.018987906602617406,-418.514794530427,False,False,False,True,True,True,True
alns,M01,C6_both_lb_warm_alns,C5_both_lb_warm,True,True,-67.7058809844184,-0.008692900068126619,-1.0472448853967515,-4.405356255120249,-0.025817479416532674,-589.8130038068011,False,False,False,True,True,True,True
alns,L01,C6_both_lb_warm_alns,C5_both_lb_warm,True,True,0.0,-0.4585429000435397,0.010405116676534876,0.07345700029170033,7.48953841557265e-05,1.4564084539124451,False,False,False,False,False,False,False
root_with_primal,S01,C7_both_lb_root_warm_alns,C6_both_lb_warm_alns,True,True,52.62425636851549,0.4181237999582663,0.024224520694158147,0.7532433544556754,0.0038929988332767826,138.6694803079372,False,False,False,False,False,False,False
root_with_primal,M01,C7_both_lb_root_warm_alns,C6_both_lb_warm_alns,True,True,-33.838338803287115,3.1116526999976486,-0.5862847658201567,3.2559876415737223,0.0006495480282444899,-27.771009277570556,False,False,False,True,False,False,False
root_with_primal,L01,C7_both_lb_root_warm_alns,C6_both_lb_warm_alns,True,True,0.0,11.920678399968892,-0.16714332371015317,-1.8234001175338435,0.00035401374594837276,6.887603317525645,False,False,False,True,True,False,False
valid_inequalities,S01,C8_both_lb_root_warm_alns_valid,C7_both_lb_root_warm_alns,True,True,38.95892820397421,-2.132357399794273,-0.2001774530156455,-0.8043295518898385,-0.015283043262020624,-279.4151503963003,False,False,True,True,True,True,True
valid_inequalities,M01,C8_both_lb_root_warm_alns_valid,C7_both_lb_root_warm_alns,True,True,52.41624279513053,-0.06686429993715137,-1.3890195446614761,-1.199792622069312,-0.022646910834172695,-358.8924631665104,False,False,False,True,True,True,True
valid_inequalities,L01,C8_both_lb_root_warm_alns_valid,C7_both_lb_root_warm_alns,True,True,4.515340256288255,10.890805400093086,-1.0218418223884584,-2.4166967090420624,-0.012184831044001393,-228.54541677789348,False,False,False,True,True,True,True
