group,runs,feasible_rate,optimal_rate,ub_mean,ub_median,ub_min,ub_max,ub_stddev,lb_mean,lb_median,lb_min,lb_max,lb_stddev,gap_mean,gap_median,gap_min,gap_max,gap_stddev,runtime_mean,runtime_median,runtime_min,runtime_max,runtime_stddev,nodes_mean,nodes_median,nodes_min,nodes_max,nodes_stddev,root_initial_bound_mean,root_initial_bound_median,root_initial_bound_min,root_initial_bound_max,root_initial_bound_stddev,root_final_bound_mean,root_final_bound_median,root_final_bound_min,root_final_bound_max,root_final_bound_stddev,root_improvement_mean,root_improvement_median,root_improvement_min,root_improvement_max,root_improvement_stddev,root_runtime_mean,root_runtime_median,root_runtime_min,root_runtime_max,root_runtime_stddev,warm_initial_ub_mean,warm_initial_ub_median,warm_initial_ub_min,warm_initial_ub_max,warm_initial_ub_stddev,warm_runtime_mean,warm_runtime_median,warm_runtime_min,warm_runtime_max,warm_runtime_stddev,alns_start_ub_mean,alns_start_ub_median,alns_start_ub_min,alns_start_ub_max,alns_start_ub_stddev,alns_best_ub_mean,alns_best_ub_median,alns_best_ub_min,alns_best_ub_max,alns_best_ub_stddev,alns_improvement_mean,alns_improvement_median,alns_improvement_min,alns_improvement_max,alns_improvement_stddev,alns_runtime_mean,alns_runtime_median,alns_runtime_min,alns_runtime_max,alns_runtime_stddev,callback_time_mean,callback_time_median,callback_time_min,callback_time_max,callback_time_stddev,open_hours_mean,open_hours_median,open_hours_min,open_hours_max,open_hours_stddev,concentration_mean,concentration_median,concentration_min,concentration_max,concentration_stddev,distance_per_box_mean,distance_per_box_median,distance_per_box_min,distance_per_box_max,distance_per_box_stddev,workload_cv_mean,workload_cv_median,workload_cv_min,workload_cv_max,workload_cv_stddev,conflict_per_box_mean,conflict_per_box_median,conflict_per_box_min,conflict_per_box_max,conflict_per_box_stddev,reserved_utilization_mean,reserved_utilization_median,reserved_utilization_min,reserved_utilization_max,reserved_utilization_stddev
bbc_aggregate_lb,3,1.0,0.6666666666666666,43173.55437846085,42443.43794704056,39718.20113544696,47359.02405289504,3161.787070262889,41929.28939596291,40503.669695645745,38530.22021767181,46753.978274571164,3505.409418984088,0.029462797613952853,0.029910239734269282,0.012775723115579875,0.0457024299920094,0.01344599468912218,19.28621783332589,12.102464499999769,0.07765170000493526,45.67853729997296,19.29706239890584,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200509865845864,2.8609965990763158,0.024838900193572044,9.715694098267704,4.068078208146842,1838.0,798.0,114.0,4602.0,1974.2907587283084,81.0,40.0,10.0,193.0,80.1373820385967,152.01456966797812,133.85412432970904,112.90885752559996,209.28072714862537,41.38627505846632,0.7062120366259184,0.6621825862872663,0.614802632165027,0.8416508914254618,0.0977035569301863,5.040595480583454,4.947233537575203,4.429971045741082,5.744581858434076,0.5407326736407683,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_alns,5,1.0,0.6,45579.526812030235,46909.80685419473,39835.653733248444,47268.117416821915,2874.994146120278,27853.82356436985,45503.30528469365,1033.3928542946805,45887.65578361293,21776.833456452092,0.4067052948133795,0.029983102976159658,0.02920492096259589,0.9780008649024352,0.4617879814743852,21.4634216199629,13.501406600000337,7.784618599922396,46.26559319999069,14.706992806339919,2110.4,643.0,1.0,7815.0,2952.8020319689567,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,45843.03594240153,47446.86961279705,41031.534931214985,47446.86961279705,2777.9214040147094,1.6450414199614898,0.056739999912679195,0.05114339990541339,6.75,2.598645897380773,45843.03594240153,47446.86961279705,41031.534931214985,47446.86961279705,2777.9214040147094,45573.0415619313,47446.86961279705,39951.557409334055,47446.86961279705,3245.5653887472345,215.995504376186,0.0,0.0,1079.97752188093,431.991008752372,3.7695942600024863,3.755182799999602,0.0,7.584456100012176,2.398487264218886,3.6824180009774863,0.9735170041676611,0.8866099977167323,8.006466699531302,3.384129164544427,1152.0,120.0,96.0,4632.0,1761.7373243477587,51.8,8.0,8.0,199.0,74.3946234616454,159.62159616222792,112.23604421339718,103.37107556537313,340.5697302675174,91.38867370986526,0.6075109523026042,0.5927372442394182,0.5552584686712727,0.681269008418785,0.041645573682463397,4.92020111932797,4.538467115454213,4.472250895015958,6.079484817690112,0.6064252312989971,0.5099094724507094,0.43211594986540586,0.43211594986540586,0.6958117628795927,0.1048516522266935
bbc_analytic_lb,3,1.0,0.0,45618.472199717944,46276.159701296885,43669.45004366222,46909.80685419473,1402.2345743350666,35168.921175692136,31634.060651586144,29807.83508707211,44064.867788418145,6334.412603942305,0.2314917640065496,0.3164069608243745,0.06064700020230814,0.3174213309929662,0.12080620079616505,30.4052740666084,30.131212699925527,15.018350099911913,46.06625939998776,12.6767372300858,1991.0,63.0,1.0,5909.0,2770.5599915299913,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531335436195755,9.262855302542448,1.4767098019365221,14.854441204108298,5.485876736572932,1686.0,690.0,95.99999999999999,4272.0,1844.5877588230926,60.333333333333336,27.0,8.0,146.0,61.070087240444934,217.99434403462988,213.28654108435,103.37107556537313,337.3254154541665,95.56945413211015,0.5104508135052465,0.5927372442394182,0.2963840501591113,0.6422311461172098,0.1527107198985275,5.339256720789299,5.385391856291854,4.538467115454213,6.093911190621831,0.635844795417556,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_core,3,1.0,0.3333333333333333,45839.3764791894,46721.34382010633,43886.97876326714,46909.80685419473,1382.695967945301,16120.822613687815,1339.4372263946875,1033.3928542946812,45989.63776037408,21120.811292650185,0.6556591131828234,0.9694798488266917,0.019615708431303624,0.9778817822904751,0.4497636843702196,25.658228699971612,30.15193489997182,1.0488270999630913,45.77392409997992,18.533368500701087,231.33333333333334,19.0,1.0,674.0,313.0988484311127,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.218420133188677,8.559254200314172,0.4887429994996637,9.607263199752197,4.074021825990041,1744.0,960.0,96.0,4176.0,1755.4851181368642,73.66666666666667,42.0,8.0,171.0,70.21079372543481,220.63581458335167,214.38824048926404,103.37107556537313,344.1481276954178,98.39604106078795,0.5806736721719027,0.5927372442394182,0.47595260541466544,0.6733311668616243,0.08102971248453181,5.279456636234741,5.209218979496327,4.538467115454213,6.090683813753683,0.6356331048322371,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_full_current,5,1.0,0.8,44682.9679305039,46909.80685419473,39673.14465859993,47451.609931392544,3223.926671853019,43948.428826265605,46908.404056826424,38483.61582175108,46908.40405682644,3682.703787625812,0.01727697157794525,0.01144757523193616,2.9904138651642563e-05,0.035409176766493314,0.013280945118844052,14.550495780003256,3.960689999978058,3.953120999969542,45.72499699995387,16.17947133896148,1.0,1.0,1.0,1.0,0.0,44576.72018802875,46692.35738622836,38229.808593429894,46692.35738622836,3664.3911176644024,,,,,,,,,,,0.6795254599535838,0.0722053999779746,0.06879179994575679,2.2600465998984873,0.8572608064505786,48562.651059140946,50537.25442960891,42638.84094773705,50537.25442960891,3420.1133624472654,1.6674370200140403,0.05094980006106198,0.047420799965038896,6.75,2.5978233949407894,48562.651059140946,50537.25442960891,42638.84094773705,50537.25442960891,3420.1133624472654,45515.92851922292,47134.41545354489,40343.27323840936,47451.609931392544,2993.456327662611,2437.378031934421,3085.6444982163666,0.0,3627.447575414182,1291.9983718676542,3.7874265599995853,3.7533442999701947,0.0,7.676630500005558,2.427919335717729,1.8986678798450156,0.00844189990311861,0.0074384999461472034,7.792191199027002,3.0168186310233107,1046.3999999999999,120.0,96.0,4110.0,1554.4266595758065,44.4,10.0,8.0,157.0,57.31526847184789,134.15408523895422,112.90885752559996,103.37107556537315,207.17330063996104,37.9144098112754,0.6550473121726937,0.614802632165027,0.5927372442394183,0.7850505375620086,0.0702576340906818,4.82406882474764,4.538467115454213,4.429971045741082,5.759916584441442,0.5066659626942622,0.5099094724507094,0.43211594986540586,0.43211594986540586,0.6958117628795927,0.1048516522266935
bbc_root,3,1.0,0.6666666666666666,43161.47852083801,42443.43794704056,39681.97356257844,47359.02405289504,3175.002651645309,41926.90549721937,40503.669695645745,38523.06852144121,46753.978274571164,3507.7218581488805,0.029227658928925145,0.02920482367918616,0.012775723115579875,0.0457024299920094,0.013442281490829619,20.063294433328945,14.137711900053546,0.1641113000223413,45.888060099910945,19.131200863732218,1.0,1.0,1.0,1.0,0.0,42174.12976597811,42174.12976597811,38135.506551157596,46212.75298079862,4038.6232148205127,,,,,,,,,,,1.1456338999948155,1.1088543999940157,0.06671260006260127,2.261334699927829,0.8963280980457425,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6645685993134975,3.4388726983452216,0.029040600289590657,10.52579249930568,4.372047418057303,1830.0,774.0,114.0,4602.0,1978.5327897207062,80.66666666666667,39.0,10.0,193.0,80.30912498312726,152.5405056181894,135.43193218034287,112.90885752559996,209.28072714862537,41.161566033279094,0.703438797467588,0.6538628688122753,0.614802632165027,0.8416508914254618,0.0990231040680233,5.039973286853234,4.945366956384544,4.429971045741082,5.744581858434076,0.5408408056202223,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_root_alns,5,1.0,0.8,44883.43421964273,47446.86961279705,39633.12431278194,47446.86961279705,3262.910938809753,43843.60181818227,46753.978274571164,38452.40457155213,46753.978274571164,3623.0105627483913,0.023860845470029656,0.014603520609060401,0.014603520609060401,0.0457024299920094,0.0124041810003732,14.565953260008246,3.9648381000151858,3.959770500077866,45.758882399997674,16.190350849102153,1.0,1.0,1.0,1.0,0.0,44193.44137338836,46212.75298079862,38135.506551157596,46212.75298079862,3497.550300348142,,,,,,,,,,,0.6840003799879923,0.0746878000209108,0.06837049999739975,2.258199399919249,0.8569653467268593,45843.03594240153,47446.86961279705,41031.534931214985,47446.86961279705,2777.9214040147094,1.6457277399953454,0.057913500000722706,0.05554690002463758,6.75,2.5978771172451647,45843.03594240153,47446.86961279705,41031.534931214985,47446.86961279705,2777.9214040147094,45573.0415619313,47446.86961279705,39951.557409334055,47446.86961279705,3245.5653887472345,215.995504376186,0.0,0.0,1079.97752188093,431.991008752372,3.7676808399846777,3.755326599930413,0.0,7.573962899972685,2.3951493035642986,1.549459939613007,0.007608100073412061,0.007307700114324689,6.542229298502207,2.5375305415489935,1149.6,120.0,120.0,4602.0,1745.365245442913,52.0,10.0,10.0,193.0,71.27131260191578,136.44642058780244,112.99355508058437,112.99355508058437,209.28072714862537,37.312400228055424,0.6657942202368864,0.611845199449874,0.611845199449874,0.8416508914254618,0.0892785847475864,4.7981605239263825,4.430900000408364,4.430900000408364,5.744581858434076,0.514682624878651,0.5099094724507094,0.43211594986540586,0.43211594986540586,0.6958117628795927,0.1048516522266935
bbc_root_warm,3,1.0,0.6666666666666666,43188.253886399805,42443.43794704056,39674.4540993618,47446.86961279705,3216.4860553109734,41926.846757562984,40503.669695645745,38522.89230247205,46753.978274571164,3507.778858688904,0.02977707399202992,0.029025271375019965,0.014603520609060401,0.0457024299920094,0.012707201280728593,20.454910533347476,15.411655600066297,0.18620029999874532,45.76687569997739,18.946860913637792,1.0,1.0,1.0,1.0,0.0,42174.12976597811,42174.12976597811,38135.506551157596,46212.75298079862,4038.6232148205127,,,,,,,,,,,1.1127876000246033,1.0114969999995083,0.06359779997728765,2.263268000097014,0.9008633216952769,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,2.728626733374161,1.3844360000221059,0.0514442001003772,6.75,2.8951452464213685,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5468178670465327,4.120551900123246,0.007368900231085718,6.512532800785266,2.6865302776135085,1838.0,792.0,120.0,4602.0,1973.6038102922278,80.66666666666667,39.0,10.0,193.0,80.30912498312726,151.7827725335439,133.07403537142193,112.99355508058437,209.28072714862537,41.47543458374813,0.7051084002125362,0.6618291097622726,0.611845199449874,0.8416508914254618,0.09868294939688883,5.043996600829691,4.956507943646632,4.430900000408364,5.744581858434076,0.5398646156696711,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_valid,3,1.0,0.0,45637.913021187516,46559.8027658393,43444.129443528516,46909.80685419473,1557.8062576737225,15865.276180556835,1340.2586225238147,1030.8487499941534,45224.72116915254,20760.64692547076,0.6609771128389297,0.9691498335979786,0.03592182100173173,0.9778596839170787,0.44199513855803796,30.314491700031795,30.158339500078,15.018271700013429,45.766863900003955,12.55354579929491,5454.0,1.0,1.0,16360.0,7711.706555620487,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.865453833481297,5.621410095482133,1.3024753065546975,7.67247609840706,2.654911162932279,1720.0,768.0,96.0,4296.0,1842.051030780635,69.66666666666667,31.0,8.0,170.0,71.56504422939705,216.25246226045712,202.60319852416754,103.37107556537313,342.7831126918307,98.21492649852895,0.5558930712373534,0.5927372442394182,0.4466834005772328,0.6282585688954092,0.07857270624756021,5.305227650258774,5.305015284802169,4.538467115454213,6.0722005505199395,0.6261440708995247,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
bbc_warm,3,1.0,0.3333333333333333,44763.5016917328,46895.44993548669,40126.937722889794,47268.117416821915,3282.073972433802,16090.097310565377,1349.2432937885258,1033.3928542946805,45887.65578361293,21070.450218114278,0.6578481476753224,0.9663756227024802,0.02920492096259589,0.977963899360891,0.4445430627118287,26.776438299993362,30.171292899991386,4.011831699986942,46.14619030000176,17.367974780708824,215.0,1.0,1.0,643.0,302.64170234784234,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,2.7357881666782,1.4061989000765607,0.05116559995803982,6.75,2.891879584075969,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,44239.20227200602,44239.20227200602,41031.534931214985,47446.86961279705,3207.667340791031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651286366900119,8.521389201749116,0.8719077006680891,10.56056219828315,4.170569102110792,1764.0,870.0,120.0,4302.0,1820.56914177957,79.66666666666667,48.0,8.0,183.0,74.87025815072067,197.9855715290778,138.10171329971607,112.23604421339718,343.61895707412015,103.51834120355662,0.6302177361977835,0.6611791327634893,0.5552584686712727,0.6742156071585885,0.05327073153397202,5.162726466179769,4.919302734548523,4.472250895015958,6.0966257689748256,0.6851227469722401,0.5617718208409118,0.5573877497777369,0.43211594986540586,0.6958117628795927,0.10769798979745311
